% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.022	1	1	3	3	1	0	81	0	0
0.022	2	2	3	3	1	0	81	0	0
0.023	1	1	3	4	1	0	81	0	0
0.023	2	2	3	4	1	0	81	0	0
0.024	1	1	3	5	1	0	81	0	0
0.024	2	2	3	5	1	0	81	0	0
0.025	1	1	3	6	1	0	81	0	0
0.025	2	2	3	6	1	0	81	0	0
0.026	1	1	3	7	1	28	2196	0	0
0.026	2	2	3	7	1	28	2196	0	0
0.027	1	1	3	8	1	28	2196	0	0
0.027	2	2	3	8	1	28	2196	0	0
0.028	1	1	3	9	1	28	2196	0	0
0.028	2	2	3	9	1	28	2196	0	0
0.029	1	1	3	10	1	28	2196	0	0
0.029	2	2	3	10	1	28	2196	0	0
0.03	1	1	4	1	1	28	2196	0	0
0.03	2	2	4	1	1	28	2196	0	0
0.031	1	1	4	2	1	28	2196	0	0
0.031	2	2	4	2	1	28	2196	0	0
0.032	1	1	4	3	1	28	2196	0	0
0.032	2	2	4	3	1	28	2196	0	0
0.033	1	1	4	4	1	28	2196	0	0
0.033	2	2	4	4	1	28	2196	0	0
0.034	1	1	4	5	1	28	2196	0	0
0.034	2	2	4	5	1	28	2196	0	0
0.035	1	1	4	6	1	28	2196	0	0
0.035	2	2	4	6	1	28	2196	0	0
0.036	1	1	4	7	1	28	2196	0	0
0.036	2	2	4	7	1	28	2196	0	0
0.037	1	1	4	8	1	28	2196	0	0
0.037	2	2	4	8	1	28	2196	0	0
0.038	1	1	4	9	1	28	2196	0	0
0.038	2	2	4	9	1	28	2196	0	0
0.039	1	1	4	10	1	28	2196	0	0
0.039	2	2	4	10	1	28	2196	0	0
0.04	1	1	5	1	1	28	2196	0	0
0.04	2	2	5	1	1	28	2196	0	0
0.041	1	1	5	2	1	28	2196	0	0
0.041	2	2	5	2	1	28	2196	0	0
0.042	1	1	5	3	1	28	2196	0	0
0.042	2	2	5	3	1	28	2196	0	0
0.043	1	1	5	4	1	28	2196	0	0
0.043	2	2	5	4	1	28	2196	0	0
0.044	1	1	5	5	1	28	2196	0	0
0.044	2	2	5	5	1	28	2196	0	0
0.045	1	1	5	6	1	28	2196	0	0
0.045	2	2	5	6	1	28	2196	0	0
0.046	1	1	5	7	1	28	2196	0	0
0.046	2	2	5	7	1	28	2196	0	0
0.047	1	1	5	8	1	28	2196	0	0
0.047	2	2	5	8	1	28	2196	0	0
0.048	1	1	5	9	1	28	2196	0	0
0.048	2	2	5	9	1	28	2196	0	0
0.049	1	1	5	10	1	28	2196	0	0
0.049	2	2	5	10	1	28	2196	0	0
0.05	1	1	6	1	1	28	2196	0	0
0.05	2	2	6	1	1	28	2196	0	0
0.051	1	1	6	2	1	28	2196	0	0
0.051	2	2	6	2	1	28	2196	0	0
0.052	1	1	6	3	1	28	2196	0	0
0.052	2	2	6	3	1	28	2196	0	0
0.053	1	1	6	4	1	28	2196	0	0
0.053	2	2	6	4	1	28	2196	0	0
0.054	1	1	6	5	1	28	2196	0	0
0.054	2	2	6	5	1	28	2196	0	0
0.055	1	1	6	6	1	28	2196	0	0
0.055	2	2	6	6	1	28	2196	0	0
0.056	1	1	6	7	1	28	2196	0	0
0.056	2	2	6	7	1	28	2196	0	0
0.057	1	1	6	8	1	28	2196	0	0
0.057	2	2	6	8	1	28	2196	0	0
0.058	1	1	6	9	1	28	2196	0	0
0.058	2	2	6	9	1	28	2196	0	0
0.059	1	1	6	10	1	28	2196	0	0
0.059	2	2	6	10	1	28	2196	0	0
0.06	1	1	7	1	1	28	2196	0	0
0.06	2	2	7	1	1	28	2196	0	0
0.061	1	1	7	2	1	28	2196	0	0
0.061	2	2	7	2	1	28	2196	0	0
0.062	1	1	7	3	1	28	2196	0	0
0.062	2	2	7	3	1	28	2196	0	0
0.063	1	1	7	4	1	28	2196	0	0
0.063	2	2	7	4	1	28	2196	0	0
0.064	1	1	7	5	1	28	2196	0	0
0.064	2	2	7	5	1	28	2196	0	0
0.065	1	1	7	6	1	28	2196	0	0
0.065	2	2	7	6	1	28	2196	0	0
0.066	1	1	7	7	1	28	2196	0	0
0.066	2	2	7	7	1	28	2196	0	0
0.067	1	1	7	8	1	28	2196	0	0
0.067	2	2	7	8	1	28	2196	0	0
0.068	1	1	7	9	1	28	2196	0	0
0.068	2	2	7	9	1	28	2196	0	0
0.069	1	1	7	10	1	28	2196	0	0
0.069	2	2	7	10	1	28	2196	0	0
0.07	1	1	8	1	1	28	2196	0	0
0.07	2	2	8	1	1	28	2196	0	0
0.071	1	1	8	2	1	28	2196	0	0
0.071	2	2	8	2	1	28	2196	0	0
0.072	1	1	8	3	1	28	2196	0	0
0.072	2	2	8	3	1	28	2196	0	0
0.073	1	1	8	4	1	28	2196	0	0
0.073	2	2	8	4	1	28	2196	0	0
0.074	1	1	8	5	1	28	2196	0	0
0.074	2	2	8	5	1	28	2196	0	0
0.075	1	1	8	6	1	28	2196	0	0
0.075	2	2	8	6	1	28	2196	0	0
0.076	1	1	8	7	1	28	2196	0	0
0.076	2	2	8	7	1	28	2196	0	0
0.077	1	1	8	8	1	28	2196	0	0
0.077	2	2	8	8	1	28	2196	0	0
0.078	1	1	8	9	1	28	2196	0	0
0.078	2	2	8	9	1	28	2196	0	0
0.079	1	1	8	10	1	28	2196	0	0
0.079	2	2	8	10	1	28	2196	0	0
0.08	1	1	9	1	1	28	2196	0	0
0.08	2	2	9	1	1	28	2196	0	0
0.081	1	1	9	2	1	28	2196	0	0
0.081	2	2	9	2	1	28	2196	0	0
0.082	1	1	9	3	1	28	2196	0	0
0.082	2	2	9	3	1	28	2196	0	0
0.083	1	1	9	4	1	28	2196	0	0
0.083	2	2	9	4	1	28	2196	0	0
0.084	1	1	9	5	1	28	2196	0	0
0.084	2	2	9	5	1	28	2196	0	0
0.085	1	1	9	6	1	28	2196	0	0
0.085	2	2	9	6	1	28	2196	0	0
0.086	1	1	9	7	1	28	2196	0	0
0.086	2	2	9	7	1	28	2196	0	0
0.087	1	1	9	8	1	28	2196	0	0
0.087	2	2	9	8	1	28	2196	0	0
0.088	1	1	9	9	1	28	2196	0	0
0.088	2	2	9	9	1	28	2196	0	0
0.089	1	1	9	10	1	28	2196	0	0
0.089	2	2	9	10	1	28	2196	0	0
0.09	1	1	10	1	1	28	2196	0	0
0.09	2	2	10	1	1	28	2196	0	0
