% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
24	1	1	1	0	0	81	0	1
24	2	2	1	0	0	81	0	1
25	1	1	1	0	0	81	0	1
25	2	2	1	0	0	81	0	1
26	1	1	1	0	0	81	0	1
26	2	2	1	0	0	81	0	1
27	1	1	1	0	0	81	0	1
27	2	2	1	0	0	81	0	1
28	1	1	1	0	28	2196	0	1
28	2	2	1	0	28	2196	0	1
29	1	1	1	0	28	2196	0	1
29	2	2	1	0	28	2196	0	1
30	1	1	1	0	28	2196	0	1
30	2	2	1	0	28	2196	0	1
31	1	1	1	0	28	2196	0	1
31	2	2	1	0	28	2196	0	1
32	1	1	1	0	28	2196	0	1
32	2	2	1	0	28	2196	0	1
33	1	1	1	0	28	2196	0	1
33	2	2	1	0	28	2196	0	1
34	1	1	1	0	28	2196	0	1
34	2	2	1	0	28	2196	0	1
35	1	1	1	0	28	2196	0	1
35	2	2	1	0	28	2196	0	1
36	1	1	1	0	28	2196	0	1
36	2	2	1	0	28	2196	0	1
37	1	1	1	0	28	2196	0	1
37	2	2	1	0	28	2196	0	1
38	1	1	1	0	28	2196	0	1
38	2	2	1	0	28	2196	0	1
39	1	1	1	0	28	2196	0	1
39	2	2	1	0	28	2196	0	1
40	1	1	1	0	28	2196	0	1
40	2	2	1	0	28	2196	0	1
41	1	1	1	0	28	2196	0	1
41	2	2	1	0	28	2196	0	1
42	1	1	1	0	28	2196	0	1
42	2	2	1	0	28	2196	0	1
43	1	1	1	0	28	2196	0	1
43	2	2	1	0	28	2196	0	1
44	1	1	1	0	28	2196	0	1
44	2	2	1	0	28	2196	0	1
45	1	1	1	0	28	2196	0	1
45	2	2	1	0	28	2196	0	1
46	1	1	1	0	28	2196	0	1
46	2	2	1	0	28	2196	0	1
47	1	1	1	0	28	2196	0	1
47	2	2	1	0	28	2196	0	1
48	1	1	1	0	28	2196	0	1
48	2	2	1	0	28	2196	0	1
49	1	1	1	0	28	2196	0	1
49	2	2	1	0	28	2196	0	1
50	1	1	1	0	28	2196	0	1
50	2	2	1	0	28	2196	0	1
51	1	1	1	0	28	2196	0	1
51	2	2	1	0	28	2196	0	1
52	1	1	1	0	28	2196	0	1
52	2	2	1	0	28	2196	0	1
53	1	1	1	0	28	2196	0	1
53	2	2	1	0	28	2196	0	1
54	1	1	1	0	28	2196	0	1
54	2	2	1	0	28	2196	0	1
55	1	1	1	0	28	2196	0	1
55	2	2	1	0	28	2196	0	1
56	1	1	1	0	28	2196	0	1
56	2	2	1	0	28	2196	0	1
57	1	1	1	0	28	2196	0	1
57	2	2	1	0	28	2196	0	1
58	1	1	1	0	28	2196	0	1
58	2	2	1	0	28	2196	0	1
59	1	1	1	0	28	2196	0	1
59	2	2	1	0	28	2196	0	1
60	1	1	1	0	28	2196	0	1
60	2	2	1	0	28	2196	0	1
61	1	1	1	0	28	2196	0	1
61	2	2	1	0	28	2196	0	1
62	1	1	1	0	28	2196	0	1
62	2	2	1	0	28	2196	0	1
63	1	1	1	0	28	2196	0	1
63	2	2	1	0	28	2196	0	1
64	1	1	1	0	28	2196	0	1
64	2	2	1	0	28	2196	0	1
65	1	1	1	0	28	2196	0	1
65	2	2	1	0	28	2196	0	1
66	1	1	1	0	28	2196	0	1
66	2	2	1	0	28	2196	0	1
67	1	1	1	0	28	2196	0	1
67	2	2	1	0	28	2196	0	1
68	1	1	1	0	28	2196	0	1
68	2	2	1	0	28	2196	0	1
69	1	1	1	0	28	2196	0	1
69	2	2	1	0	28	2196	0	1
70	1	1	1	0	28	2196	0	1
70	2	2	1	0	28	2196	0	1
71	1	1	1	0	28	2196	0	1
71	2	2	1	0	28	2196	0	1
72	1	1	1	0	28	2196	0	1
72	2	2	1	0	28	2196	0	1
73	1	1	1	0	28	2196	0	1
73	2	2	1	0	28	2196	0	1
74	1	1	1	0	28	2196	0	1
74	2	2	1	0	28	2196	0	1
75	1	1	1	0	28	2196	0	1
75	2	2	1	0	28	2196	0	1
76	1	1	1	0	28	2196	0	1
76	2	2	1	0	28	2196	0	1
77	1	1	1	0	28	2196	0	1
77	2	2	1	0	28	2196	0	1
78	1	1	1	0	28	2196	0	1
78	2	2	1	0	28	2196	0	1
79	1	1	1	0	28	2196	0	1
79	2	2	1	0	28	2196	0	1
80	1	1	1	0	28	2196	0	1
80	2	2	1	0	28	2196	0	1
81	1	1	1	0	28	2196	0	1
81	2	2	1	0	28	2196	0	1
82	1	1	1	0	28	2196	0	1
82	2	2	1	0	28	2196	0	1
83	1	1	1	0	28	2196	0	1
83	2	2	1	0	28	2196	0	1
84	1	1	1	0	28	2196	0	1
84	2	2	1	0	28	2196	0	1
85	1	1	1	0	28	2196	0	1
85	2	2	1	0	28	2196	0	1
86	1	1	1	0	28	2196	0	1
86	2	2	1	0	28	2196	0	1
87	1	1	1	0	28	2196	0	1
87	2	2	1	0	28	2196	0	1
88	1	1	1	0	28	2196	0	1
88	2	2	1	0	28	2196	0	1
89	1	1	1	0	28	2196	0	1
89	2	2	1	0	28	2196	0	1
90	1	1	1	0	28	2196	0	1
90	2	2	1	0	28	2196	0	1
91	1	1	1	0	28	2196	0	1
91	2	2	1	0	28	2196	0	1
92	1	1	1	0	28	2196	0	1
92	2	2	1	0	28	2196	0	1
93	1	1	1	0	28	2196	0	1
93	2	2	1	0	28	2196	0	1
94	1	1	1	0	28	2196	0	1
94	2	2	1	0	28	2196	0	1
95	1	1	1	0	28	2196	0	1
95	2	2	1	0	28	2196	0	1
96	1	1	1	0	28	2196	0	1
96	2	2	1	0	28	2196	0	1
97	1	1	1	0	28	2196	0	1
97	2	2	1	0	28	2196	0	1
98	1	1	1	0	28	2196	0	1
98	2	2	1	0	28	2196	0	1
99	1	1	1	0	28	2196	0	1
99	2	2	1	0	28	2196	0	1
100	1	1	1	0	28	2196	0	1
100	2	2	1	0	28	2196	0	1
101	1	1	1	0	28	2196	0	1
101	2	2	1	0	28	2196	0	1
102	1	1	1	0	28	2196	0	1
102	2	2	1	0	28	2196	0	1
103	1	1	1	0	28	2196	0	1
103	2	2	1	0	28	2196	0	1
104	1	1	1	0	28	2196	0	1
104	2	2	1	0	28	2196	0	1
105	1	1	1	0	28	2196	0	1
105	2	2	1	0	28	2196	0	1
106	1	1	1	0	28	2196	0	1
106	2	2	1	0	28	2196	0	1
107	1	1	1	0	28	2196	0	1
107	2	2	1	0	28	2196	0	1
108	1	1	1	0	28	2196	0	1
108	2	2	1	0	28	2196	0	1
109	1	1	1	0	28	2196	0	1
109	2	2	1	0	28	2196	0	1
110	1	1	1	0	28	2196	0	1
110	2	2	1	0	28	2196	0	1
111	1	1	1	0	28	2196	0	1
111	2	2	1	0	28	2196	0	1
112	1	1	1	0	28	2196	0	1
112	2	2	1	0	28	2196	0	1
113	1	1	1	0	28	2196	0	1
113	2	2	1	0	28	2196	0	1
114	1	1	1	0	28	2196	0	1
114	2	2	1	0	28	2196	0	1
115	1	1	1	0	28	2196	0	1
115	2	2	1	0	28	2196	0	1
116	1	1	1	0	28	2196	0	1
116	2	2	1	0	28	2196	0	1
117	1	1	1	0	28	2196	0	1
117	2	2	1	0	28	2196	0	1
118	1	1	1	0	28	2196	0	1
118	2	2	1	0	28	2196	0	1
119	1	1	1	0	28	2196	0	1
119	2	2	1	0	28	2196	0	1
120	1	1	1	0	28	2196	0	1
120	2	2	1	0	28	2196	0	1
121	1	1	1	0	28	2196	0	1
121	2	2	1	0	28	2196	0	1
122	1	1	1	0	28	2196	0	1
122	2	2	1	0	28	2196	0	1
123	1	1	1	0	28	2196	0	1
123	2	2	1	0	28	2196	0	1
124	1	1	1	0	28	2196	0	1
124	2	2	1	0	28	2196	0	1
125	1	1	1	0	28	2196	0	1
125	2	2	1	0	28	2196	0	1
126	1	1	1	0	28	2196	0	1
126	2	2	1	0	28	2196	0	1
127	1	1	1	0	28	2196	0	1
127	2	2	1	0	28	2196	0	1
128	1	1	1	0	28	2196	0	1
128	2	2	1	0	28	2196	0	1
129	1	1	1	0	28	2196	0	1
129	2	2	1	0	28	2196	0	1
130	1	1	1	0	28	2196	0	1
130	2	2	1	0	28	2196	0	1
131	1	1	1	0	28	2196	0	1
131	2	2	1	0	28	2196	0	1
132	1	1	1	0	28	2196	0	1
132	2	2	1	0	28	2196	0	1
133	1	1	1	0	28	2196	0	1
133	2	2	1	0	28	2196	0	1
134	1	1	1	0	28	2196	0	1
134	2	2	1	0	28	2196	0	1
135	1	1	1	0	28	2196	0	1
