% time	cellId	Interference
0.121929	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.121929	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.221929	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.221929	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.321929	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.321929	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.421929	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.421929	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.521929	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.521929	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.621929	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.621929	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.721929	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.721929	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.821929	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.821929	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.921929	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
0.921929	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
1.02193	1	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
1.02193	2	1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 1.35324e-20 
